,騎手,勝利数
0,Ｃ．ルメール,215
1,Ｍ．デムーロ,153
2,戸崎圭太,115
3,福永祐一,103
4,川田将雅,93
5,北村友一,90
6,田辺裕信,85
7,松山弘平,84
8,岩田康誠,80
9,武豊,76
10,Ｊ．モレイラ,76
11,大野拓弥,75
12,藤岡佑介,74
13,和田竜二,71
14,内田博幸,71
15,三浦皇成,68
16,浜中俊,66
17,北村宏司,62
18,幸英明,61
19,丸山元気,60
20,池添謙一,60
21,石橋脩,59
22,藤岡康太,59
23,松若風馬,53
24,津村明秀,52
25,横山典弘,49
26,川又賢治,44
27,鮫島克駿,42
28,吉田隼人,41
29,武藤雅,37
30,横山武史,35
31,松岡正海,35
32,蛯名正義,32
33,秋山真一郎,31
34,柴田大知,30
35,荻野極,30
36,古川吉洋,30
37,富田暁,29
38,酒井学,28
39,勝浦正樹,27
40,菱田裕二,27
41,藤田菜七子,27
42,柴山雄一,25
43,木幡巧也,23
44,田中勝春,23
45,太宰啓介,22
46,小崎綾也,22
47,国分恭介,21
48,石川裕紀人,20
49,菊沢一樹,19
